Date,Language,Conversions
01/08/2019,Language 1,0
01/08/2019,Language 1,0
01/08/2019,Language 2,0
01/08/2019,Language 2,0
01/08/2019,Language 3,0
01/08/2019,Language 3,0
01/08/2019,Language 3,0
01/08/2019,Language 4,0
01/08/2019,Language 4,0
01/08/2019,Language 5,0
01/08/2019,Language 4,0
01/08/2019,Language 4,0
01/08/2019,Language 4,0
01/08/2019,Language 4,0
01/08/2019,Language 5,7
01/08/2019,Language 5,0
01/08/2019,Language 5,0
01/08/2019,Language 5,0
01/08/2019,Language 5,0
01/08/2019,Language 5,0
01/08/2019,Language 5,0
01/08/2019,Language 5,0
01/08/2019,Language 5,0
01/08/2019,Language 5,0
01/08/2019,Language 5,0
01/08/2019,Language 6,2
01/08/2019,Language 6,1
01/08/2019,Language 6,1
01/08/2019,Language 6,0
01/08/2019,Language 6,0
01/08/2019,Language 6,0
01/08/2019,Language 6,0
01/08/2019,Language 6,0
01/08/2019,Language 6,0
01/08/2019,Language 7,0
01/08/2019,Language 7,0
01/08/2019,Language 7,0
01/08/2019,Language 7,0
01/08/2019,Language 7,0
01/08/2019,Language 7,0
01/08/2019,Language 7,"90,17"
01/08/2019,Language 7,0
01/08/2019,Language 7,"30,33"
01/08/2019,Language 7,"5,33"
01/08/2019,Language 7,0
01/08/2019,Language 7,0
01/08/2019,Language 7,"3,5"
01/08/2019,Language 7,2
01/08/2019,Language 7,"15,5"
01/08/2019,Language 7,"4,5"
01/08/2019,Language 7,17
01/08/2019,Language 7,0
01/08/2019,Language 7,0
01/08/2019,Language 7,"7,2"
01/08/2019,Language 7,0
01/08/2019,Language 7,0
01/08/2019,Language 7,0
01/08/2019,Language 7,3
01/08/2019,Language 7,1
01/08/2019,Language 7,0
01/08/2019,Language 7,0
01/08/2019,Language 7,0
01/08/2019,Language 7,0
01/08/2019,Language 7,0
01/08/2019,Language 7,0
01/08/2019,Language 8,"15,33"
01/08/2019,Language 8,0
01/08/2019,Language 8,0
01/08/2019,Language 8,"0,33"
01/08/2019,Language 8,0
01/08/2019,Language 8,0
01/08/2019,Language 8,0
01/08/2019,Language 8,0
01/08/2019,Language 8,0
01/08/2019,Language 8,0
01/08/2019,Language 8,0
01/08/2019,Language 8,0
01/08/2019,Language 8,0
01/08/2019,Language 8,"0,5"
01/08/2019,Language 8,0
01/08/2019,Language 8,0
01/08/2019,Language 8,0
01/08/2019,Language 9,7
01/08/2019,Language 9,"0,5"
01/08/2019,Language 9,0
01/08/2019,Language 9,0
01/08/2019,Language 9,0
01/08/2019,Language 9,0
01/08/2019,Language 9,0
01/08/2019,Language 9,0
01/08/2019,Language 9,0
01/08/2019,Language 9,0
01/08/2019,Language 9,0
01/08/2019,Language 9,0
01/08/2019,Language 10,1
01/08/2019,Language 10,0
01/08/2019,Language 10,"2,5"
01/08/2019,Language 10,0
01/08/2019,Language 10,0
01/08/2019,Language 10,0
01/08/2019,Language 10,0
01/08/2019,Language 10,0
01/08/2019,Language 10,0
01/08/2019,Language 10,0
01/08/2019,Language 10,0
01/08/2019,Language 10,0
01/08/2019,Language 11,"0,5"
01/08/2019,Language 11,0
01/08/2019,Language 11,0
01/08/2019,Language 11,0
01/08/2019,Language 11,0
01/08/2019,Language 11,0
01/08/2019,Language 11,0
01/08/2019,Language 12,0
01/08/2019,Language 12,0
01/08/2019,Language 12,0
01/08/2019,Language 12,0
01/08/2019,Language 12,0
01/08/2019,Language 12,0
01/08/2019,Language 12,0
01/08/2019,Language 13,2
01/08/2019,Language 13,0
01/08/2019,Language 13,0
01/08/2019,Language 13,0
01/08/2019,Language 14,"1,07"
01/08/2019,Language 14,0
01/08/2019,Language 14,0
01/08/2019,Language 14,0
01/08/2019,Language 14,0
01/08/2019,Language 14,0
01/08/2019,Language 14,0
01/08/2019,Language 14,0
01/08/2019,Language 15,2
01/08/2019,Language 15,0
01/08/2019,Language 15,0
01/08/2019,Language 15,0
01/08/2019,Language 15,0
01/08/2019,Language 15,0
01/08/2019,Language 15,0
01/08/2019,Language 15,0
01/08/2019,Language 16,0
01/08/2019,Language 16,0
01/08/2019,Language 16,0
01/08/2019,Language 16,0
01/08/2019,Language 16,0
01/08/2019,Language 16,0
01/08/2019,Language 16,0
01/08/2019,Language 16,0
01/08/2019,Language 16,0
01/08/2019,Language 16,0
01/08/2019,Language 16,0
01/08/2019,Language 16,0
01/08/2019,Language 16,0
01/08/2019,Language 16,0
02/08/2019,Language 1,0
02/08/2019,Language 1,0
02/08/2019,Language 2,0
02/08/2019,Language 2,0
02/08/2019,Language 3,0
02/08/2019,Language 3,0
02/08/2019,Language 3,0
02/08/2019,Language 4,0
02/08/2019,Language 4,0
02/08/2019,Language 5,0
02/08/2019,Language 4,0
02/08/2019,Language 4,0
02/08/2019,Language 4,0
02/08/2019,Language 4,0
02/08/2019,Language 5,8
02/08/2019,Language 5,0
02/08/2019,Language 5,0
02/08/2019,Language 5,0
02/08/2019,Language 5,0
02/08/2019,Language 5,0
02/08/2019,Language 5,0
02/08/2019,Language 5,0
02/08/2019,Language 5,0
02/08/2019,Language 5,0
02/08/2019,Language 5,0
02/08/2019,Language 6,2
02/08/2019,Language 6,1
02/08/2019,Language 6,0
02/08/2019,Language 6,0
02/08/2019,Language 6,1
02/08/2019,Language 6,0
02/08/2019,Language 6,0
02/08/2019,Language 6,0
02/08/2019,Language 6,0
02/08/2019,Language 7,0
02/08/2019,Language 7,0
02/08/2019,Language 7,0
02/08/2019,Language 7,0
02/08/2019,Language 7,0
02/08/2019,Language 7,0
02/08/2019,Language 7,"83,04"
02/08/2019,Language 7,0
02/08/2019,Language 7,25
02/08/2019,Language 7,3
02/08/2019,Language 7,0
02/08/2019,Language 7,0
02/08/2019,Language 7,"1,5"
02/08/2019,Language 7,2
02/08/2019,Language 7,"4,5"
02/08/2019,Language 7,6
02/08/2019,Language 7,"10,17"
02/08/2019,Language 7,0
02/08/2019,Language 7,0
02/08/2019,Language 7,13
02/08/2019,Language 7,0
02/08/2019,Language 7,0
02/08/2019,Language 7,0
02/08/2019,Language 7,2
02/08/2019,Language 7,1
02/08/2019,Language 7,0
02/08/2019,Language 7,0
02/08/2019,Language 7,0
02/08/2019,Language 7,0
02/08/2019,Language 7,0
02/08/2019,Language 7,0
02/08/2019,Language 8,"5,57"
02/08/2019,Language 8,0
02/08/2019,Language 8,0
02/08/2019,Language 8,0
02/08/2019,Language 8,0
02/08/2019,Language 8,0
02/08/2019,Language 8,0
02/08/2019,Language 8,0
02/08/2019,Language 8,0
02/08/2019,Language 8,0
02/08/2019,Language 8,0
02/08/2019,Language 8,0
02/08/2019,Language 8,0
02/08/2019,Language 8,0
02/08/2019,Language 8,0
02/08/2019,Language 8,0
02/08/2019,Language 8,0
02/08/2019,Language 9,2
02/08/2019,Language 9,0
02/08/2019,Language 9,0
02/08/2019,Language 9,0
02/08/2019,Language 9,0
02/08/2019,Language 9,0
02/08/2019,Language 9,0
02/08/2019,Language 9,0
02/08/2019,Language 9,0
02/08/2019,Language 9,0
02/08/2019,Language 9,0
02/08/2019,Language 9,0
02/08/2019,Language 10,2
02/08/2019,Language 10,0
02/08/2019,Language 10,2
02/08/2019,Language 10,0
02/08/2019,Language 10,0
02/08/2019,Language 10,0
02/08/2019,Language 10,0
02/08/2019,Language 10,0
02/08/2019,Language 10,0
02/08/2019,Language 10,0
02/08/2019,Language 10,0
02/08/2019,Language 10,0
02/08/2019,Language 11,0
02/08/2019,Language 11,0
02/08/2019,Language 11,0
02/08/2019,Language 11,0
02/08/2019,Language 11,0
02/08/2019,Language 11,0
02/08/2019,Language 11,0
02/08/2019,Language 12,0
02/08/2019,Language 12,0
02/08/2019,Language 12,0
02/08/2019,Language 12,0
02/08/2019,Language 12,0
02/08/2019,Language 12,0
02/08/2019,Language 12,0
02/08/2019,Language 13,2
02/08/2019,Language 13,0
02/08/2019,Language 13,0
02/08/2019,Language 13,0
02/08/2019,Language 14,0
02/08/2019,Language 14,0
02/08/2019,Language 14,0
02/08/2019,Language 14,0
02/08/2019,Language 14,0
02/08/2019,Language 14,0
02/08/2019,Language 14,0
02/08/2019,Language 14,0
02/08/2019,Language 15,0
02/08/2019,Language 15,0
02/08/2019,Language 15,0
02/08/2019,Language 15,0
02/08/2019,Language 15,0
02/08/2019,Language 15,0
02/08/2019,Language 15,0
02/08/2019,Language 15,0
02/08/2019,Language 16,0
02/08/2019,Language 16,0
02/08/2019,Language 16,0
02/08/2019,Language 16,0
02/08/2019,Language 16,0
02/08/2019,Language 16,0
02/08/2019,Language 16,0
02/08/2019,Language 16,0
02/08/2019,Language 16,0
02/08/2019,Language 16,0
02/08/2019,Language 16,0
02/08/2019,Language 16,0
02/08/2019,Language 16,0
02/08/2019,Language 16,0
03/08/2019,Language 1,0
03/08/2019,Language 1,0
03/08/2019,Language 2,0
03/08/2019,Language 2,0
03/08/2019,Language 3,0
03/08/2019,Language 3,0
03/08/2019,Language 3,0
03/08/2019,Language 4,0
03/08/2019,Language 4,0
03/08/2019,Language 5,0
03/08/2019,Language 4,0
03/08/2019,Language 4,0
03/08/2019,Language 4,0
03/08/2019,Language 4,0
03/08/2019,Language 5,10
03/08/2019,Language 5,0
03/08/2019,Language 5,0
03/08/2019,Language 5,0
03/08/2019,Language 5,0
03/08/2019,Language 5,0
03/08/2019,Language 5,0
03/08/2019,Language 5,0
03/08/2019,Language 5,0
03/08/2019,Language 5,0
03/08/2019,Language 5,0
03/08/2019,Language 6,0
03/08/2019,Language 6,1
03/08/2019,Language 6,0
03/08/2019,Language 6,0
03/08/2019,Language 6,0
03/08/2019,Language 6,0
03/08/2019,Language 6,0
03/08/2019,Language 6,1
03/08/2019,Language 6,0
03/08/2019,Language 7,0
03/08/2019,Language 7,0
03/08/2019,Language 7,0
03/08/2019,Language 7,0
03/08/2019,Language 7,0
03/08/2019,Language 7,0
03/08/2019,Language 7,"65,31"
03/08/2019,Language 7,0
03/08/2019,Language 7,"24,67"
03/08/2019,Language 7,1
03/08/2019,Language 7,2
03/08/2019,Language 7,0
03/08/2019,Language 7,3
03/08/2019,Language 7,0
03/08/2019,Language 7,3
03/08/2019,Language 7,"5,17"
03/08/2019,Language 7,9
03/08/2019,Language 7,0
03/08/2019,Language 7,0
03/08/2019,Language 7,"5,75"
03/08/2019,Language 7,0
03/08/2019,Language 7,0
03/08/2019,Language 7,0
03/08/2019,Language 7,2
03/08/2019,Language 7,0
03/08/2019,Language 7,3
03/08/2019,Language 7,0
03/08/2019,Language 7,0
03/08/2019,Language 7,0
03/08/2019,Language 7,0
03/08/2019,Language 7,0
03/08/2019,Language 8,1
03/08/2019,Language 8,0
03/08/2019,Language 8,0
03/08/2019,Language 8,1
03/08/2019,Language 8,0
03/08/2019,Language 8,0
03/08/2019,Language 8,0
03/08/2019,Language 8,0
03/08/2019,Language 8,0
03/08/2019,Language 8,0
03/08/2019,Language 8,0
03/08/2019,Language 8,0
03/08/2019,Language 8,0
03/08/2019,Language 8,2
03/08/2019,Language 8,0
03/08/2019,Language 8,0
03/08/2019,Language 8,0
03/08/2019,Language 9,0
03/08/2019,Language 9,0
03/08/2019,Language 9,0
03/08/2019,Language 9,"0,5"
03/08/2019,Language 9,0
03/08/2019,Language 9,0
03/08/2019,Language 9,0
03/08/2019,Language 9,0
03/08/2019,Language 9,0
03/08/2019,Language 9,0
03/08/2019,Language 9,0
03/08/2019,Language 9,0
03/08/2019,Language 10,0
03/08/2019,Language 10,0
03/08/2019,Language 10,3
03/08/2019,Language 10,0
03/08/2019,Language 10,0
03/08/2019,Language 10,0
03/08/2019,Language 10,0
03/08/2019,Language 10,0
03/08/2019,Language 10,0
03/08/2019,Language 10,0
03/08/2019,Language 10,0
03/08/2019,Language 10,0
03/08/2019,Language 11,0
03/08/2019,Language 11,0
03/08/2019,Language 11,0
03/08/2019,Language 11,0
03/08/2019,Language 11,0
03/08/2019,Language 11,0
03/08/2019,Language 11,0
03/08/2019,Language 12,0
03/08/2019,Language 12,0
03/08/2019,Language 12,0
03/08/2019,Language 12,0
03/08/2019,Language 12,0
03/08/2019,Language 12,0
03/08/2019,Language 12,0
03/08/2019,Language 13,1
03/08/2019,Language 13,0
03/08/2019,Language 13,0
03/08/2019,Language 13,0
03/08/2019,Language 14,1
03/08/2019,Language 14,0
03/08/2019,Language 14,0
03/08/2019,Language 14,0
03/08/2019,Language 14,0
03/08/2019,Language 14,0
03/08/2019,Language 14,0
03/08/2019,Language 14,0
03/08/2019,Language 15,0
03/08/2019,Language 15,0
03/08/2019,Language 15,0
03/08/2019,Language 15,0
03/08/2019,Language 15,0
