Language,Sector,CPA
IT,1,"177,11"
PR,5,"142,19"
FR,6,"82,38"
EN,8,"470,1"
IT,4,"100,39"
EN,3,"54,15"
DE,2,"50,64"
FR,12,"50,95"
EN,1,"18,51"
DE,6,"244,27"
IT,5,"316,57"
ES,9,"33,24"
EN,9,"19,89"
ES,1,"104,01"
ZH,2,"208,54"
TR,1,0
ES,2,"36,88"
FR,9,0
ZH,3,"66,28"
DE,7,"77,84"
ZH,5,"202,11"
JP,2,"337,51"
TR,5,"40,77"
RU,10,"257,71"
EN,6,"71,99"
ES,7,"194,89"
RU,3,0
EN,4,"17,06"
EN,7,"19,14"
FR,5,"62,86"
ZH,4,"57,13"
IT,10,"122,9"
EN,12,"36,27"
EN,11,"20,48"
ES,5,"109,97"
ES,3,"145,35"
ZH,8,0
EN,5,"35,22"
PR,1,"61,19"
ES,4,"317,83"
PR,3,"159,06"
ES,8,0
IT,2,"62,2"
PR,4,"361,05"
TR,8,0
ZH,9,"33,15"
EN,2,"30,88"
IT,9,"37,08"
ES,6,"74,66"
